t_seg,ecg_mV
0.0,0.04493
0.004,0.02235
0.008,0.00629
0.012,0.01126
0.016,0.0174
0.02,-0.01094
0.024,0.0177
0.028,0.02142
0.032,0.0101
0.036,0.02323
0.04,0.00602
0.044,0.00867
0.048,0.0037
0.052,0.0316
0.056,-0.00716
0.06,0.047
0.064,0.00962
0.068,0.01146
0.072,-2e-05
0.076,0.00118
0.08,0.01963
0.084,0.03018
0.088,-0.04119
0.092,-0.05994
0.096,-0.07266
0.1,-0.09846
0.104,-0.07635
0.108,-0.00099
0.112,0.16557
0.116,0.35228
0.12,0.59953
0.124,0.78274
0.128,0.93162
0.132,1.01299
0.136,0.9695
0.14,0.83529
0.144,0.61766
0.148,0.36897
0.152,0.14009
0.156,0.01942
0.16,-0.1081
0.164,-0.16097
0.168,-0.15667
0.172,-0.13593
0.176,-0.06602
0.18,-0.02339
0.184,0.00208
0.188,-0.01832
0.192,0.00802
0.196,0.0135
0.2,0.01886
0.204,0.01789
0.208,-0.00643
0.212,0.0091
0.216,-0.01488
0.22,0.02063
0.224,0.00337
0.228,0.00284
0.232,0.01068
0.236,0.03314
0.24,0.02073
0.244,0.02066
0.248,0.01591
0.252,0.03033
0.256,0.0113
0.26,0.04795
0.264,0.02163
0.268,0.02621
0.272,0.03519
0.276,0.01681
0.28,0.00505
0.284,0.01467
0.288,0.00468
0.292,0.0159
0.296,0.02218
0.3,0.02256
0.304,0.01004
0.308,0.01634
0.312,0.03465
0.316,0.03964
0.32,0.02165
0.324,0.04787
0.328,0.04689
0.332,0.07343
0.336,0.05039
0.34,0.10802
0.344,0.11093
0.348,0.10154
0.352,0.10784
0.356,0.10054
0.36,0.11201
0.364,0.15181
0.368,0.14115
0.372,0.13651
0.376,0.18657
0.38,0.1892
0.384,0.20785
0.388,0.22604
0.392,0.24191
0.396,0.19029
0.4,0.20783
0.404,0.22443
0.408,0.23532
0.412,0.20832
0.416,0.22499
0.42,0.23549
0.424,0.21447
0.428,0.22589
0.432,0.23574
0.436,0.21902
0.44,0.21528
0.444,0.18946
0.448,0.1756
0.452,0.16418
0.456,0.14836
0.46,0.14953
0.464,0.15095
0.468,0.11331
0.472,0.11605
0.476,0.12433
0.48,0.10202
0.484,0.07511
0.488,0.06564
0.492,0.07335
0.496,0.0621
